rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000072888.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072889.9	3.46	8.83	3.41	10.67	7.52	2.1	3.26	2.54	0	0	0	0	0	0	5.73	0	0	0	0	0	0
ENSMUSG00000072893.12	6.81	12.22	9.74	11.15	6.46	8.47	5.94	9.04	8.9	0	4.08	2.49	1.78	0	0	2.32	0	4.13	1.28	1.29	6.25
ENSMUSG00000072898.3	412.28	299.28	339.7	295.28	279.38	336.01	307.67	348.74	423.83	229.32	208.5	394.1	171.74	273.39	146.47	284.31	375.45	152.06	149.86	166	119.96
ENSMUSG00000072900.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072902.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072905.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072915.3	0.75	0	0	1.26	0.47	0	0	0	0	0	0	0.54	0	0	0	0	0	0	0	0	0
ENSMUSG00000072919.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072923.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072929.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072930.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072931.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072934.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072940.5	222.92	143.52	0	106.47	140.53	0	274.15	189.57	0	0	86.82	0	0	0	0	0	0	0	0	9.12	0
ENSMUSG00000072941.5	1	2.14	2.19	4.83	1.56	5.2	3.43	2.28	0.53	7.19	5.28	2.99	3	4.34	2.46	2.23	0	0	0	0	0
ENSMUSG00000072944.11	0	0	0	0	0	0	0	0	0	0	2.86	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072945.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072946.12	5.33	3.18	11.06	4.47	9.25	7.94	4.76	4.33	5.09	11.42	6.81	11.79	8.66	11.06	4.88	9.29	25.99	2.76	5.21	1.47	1.18
ENSMUSG00000072949.6	8.2	9.12	18.35	4.15	4.38	21.28	4.42	19.72	6.95	6.25	10.08	14.56	3.33	0	10.92	12.8	0	3.06	0	3.26	15.27
ENSMUSG00000072950.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072952.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072955.14	0	0	0	4.76	0	0	0	5.22	0	0	0	0	2.33	0	0	0	0	0	0	0	0
ENSMUSG00000072962.3	5.6	9.01	6.14	6.03	4.85	11.1	4.28	5.11	10.02	0.96	3.3	3.36	0	3.48	0.77	1.05	0	0	0	1.16	0
ENSMUSG00000072963.2	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0
ENSMUSG00000072964.14	4.75	2.89	0.74	6.38	3.5	7.32	2.32	1.84	2.16	1.66	0	0	0	2.48	0	0	0	0	0	0	0
ENSMUSG00000072966.11	1.49	0.54	0	0	0	1.94	0.57	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072968.4	156.98	174.11	455.86	95.74	96.63	387.97	93.36	128.22	162.58	298.91	157.89	368.07	19.09	28.09	305.66	244.3	482.6	49.54	9.28	151.17	164.81
ENSMUSG00000072969.2	2.48	1.46	0.9	4.75	0.71	0.51	0.94	1.24	0	0	0	0	0	0	0	0	0	0	1.02	0	0
ENSMUSG00000072972.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072974.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072978.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072980.3	3.31	3.89	6.05	6.5	6.88	5.57	7.59	10.76	3.55	0	0	0	0	0	0	0	0	1.21	0	0	0
ENSMUSG00000072982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072983.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072999.9	2.34	2.02	2.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073000.3	1.24	0	5.8	0	0	0	0	0	0	0	0	0	0	3.21	2.12	2.91	0	0	0	0	0
ENSMUSG00000073001.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073002.9	0	0	0	4.88	0	0	15.57	0	0	0	4.02	5.55	0	0	0	0	0	20.02	0	5.7	4.98
ENSMUSG00000073006.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073007.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073008.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073010.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073012.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073016.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073018.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073027.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073028.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073043.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073045.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073051.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073052.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073060.4	2.17	1.56	0.1	0.18	0.75	1.62	0	0.83	0	0	0	0	0	1.8	0	0	0	0.79	0	0	0.92
ENSMUSG00000073062.3	0	0	0.67	0.62	0	0	0	0.52	0.35	0	0	0	0.28	0	0	0	0	0	0	0.4	0
ENSMUSG00000073063.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073067.10	20.48	48.67	37.94	35.86	28.78	25.94	75.81	38.5	53.52	31.98	39.6	55.22	62.27	64.56	36.97	59.05	18.07	32.98	27.67	31.92	56.94
ENSMUSG00000073069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073073.4	0	0	0	0	0	0	1.53	0	0	0	1.18	0	0	1.66	0	0	0	0	0	1.66	0
ENSMUSG00000073077.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073079.6	3.17	19.96	10.84	18.6	15.35	14.95	16.36	16.95	6	6.73	7.94	8.45	8.11	15.37	8.73	0	0	0.45	0	0	0
ENSMUSG00000073085.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073094.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073096.11	31.08	57.79	30.36	34.2	26.29	41.71	37.85	39.04	49.35	19.36	20.05	31.85	12.18	26.59	19.98	44.97	0	11.34	7.22	2.41	6.65
ENSMUSG00000073102.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073103.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073110.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073111.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073116.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073117.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073119.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073125.10	0	0	0	1.37	1.32	1.89	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073130.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073131.12	0.44	0.47	0.48	0	0.46	3.81	0.46	1.21	0	0.46	4.9	0.53	0	0	0.36	0.49	0	0	0	0	0
ENSMUSG00000073139.9	0.79	2.53	0.86	0.85	8.09	5.75	0	2.84	0	1.62	0.69	0	0	1.96	0	0	0	3.46	3.87	0.98	0
ENSMUSG00000073141.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073144.4	2.49	5.31	0	5.34	5.15	7.34	11.37	6.78	5.35	10.21	6.58	9	8.51	9.29	8.17	11.23	0	2.72	12.31	6.19	3.18
ENSMUSG00000073145.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073147.3	21.54	44.09	37.58	55.08	29.52	30.73	48.28	33.28	49.39	7.06	10.37	9.4	11.76	6.43	4.84	12.08	0	21.72	9.7	7.29	12.81
ENSMUSG00000073152.4	2.18	4.68	2.39	0	0	4.05	3.75	2.99	0	1.12	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073154.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073155.12	23.52	3.57	3.65	6.03	10.24	5.4	15.48	15.31	0	3.47	2.98	11.55	0	8.51	2.74	0.85	0	1.82	4.13	0	2.12
ENSMUSG00000073158.4	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073164.11	0	4.08	0	0	0	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073173.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073174.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073176.4	0.5	0	0	0	0.52	0.74	2.29	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073177.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073179.3	0	0	0	0	0	0	8.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073184.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073197.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073198.5	5.91	0	0	4.77	5.31	7.76	9.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073207.1	1.3	1.39	0	1.4	1.35	0.96	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073208.12	0	0	0	0	1.86	0	0	0	0	0	0	0	0	0	0	6.42	0	0	0	0	0
ENSMUSG00000073209.4	0	0	0.68	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073226.9	1.68	0.9	0	1.32	1.28	0.62	0.96	1.12	2.64	0	0	1.48	0.72	0	1.01	0.94	0	0	0	0	1.56
ENSMUSG00000073233.4	0	0	0	0	3.57	1.63	0	4.29	0	0	0	0	0	2.63	0	0	0	0	0	0	0
ENSMUSG00000073234.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073236.4	27.8	14.2	43.92	43.87	41.48	25.13	53.27	42.36	15.64	13.67	5.92	1.23	11.41	17.63	11	0	145.53	22.16	17.48	0	26.33
ENSMUSG00000073242.4	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073243.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073245.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073247.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073255.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073257.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073267.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073274.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073290.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073291.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073293.4	0	0	0	0	0	0.82	2.53	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0
ENSMUSG00000073294.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073295.4	0	0	0	0.67	0	0	0	1.13	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073367.4	3.98	21.09	13	12.73	16.4	14.55	18.07	10.78	12.82	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073371.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073374.3	1.29	1.46	0	0	1.42	0	3.12	0.4	0.94	0	0	0	0	0	0	1.53	0	0	0.54	0	0
ENSMUSG00000073375.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073377.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073380.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19	0	0	0
ENSMUSG00000073386.4	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073394.4	5.68	6.05	6.2	15.2	8.81	2.09	12.94	2.57	3.05	0	0	0	0	0	0	0	0	9.31	7.02	3.53	0
ENSMUSG00000073396.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073399.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073400.6	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073402.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073403.11	0	0	0	0	0	0	1.33	0	0	0	0	1.39	0	0	0	0	0	0	1.44	0	2.95
ENSMUSG00000073405.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22	0	0	2.44	0	0
ENSMUSG00000073406.10	0	0	0	0	0	0	0	0	0	0	0	0	4.36	0	0	0	0	0	0	0	3.26
ENSMUSG00000073407.1	7.28	0	1.33	0	1.26	0	0	1.11	0	92.89	70.64	198.1	85.26	135.77	69.83	80.28	212.24	3.98	4.5	4.52	1.54
ENSMUSG00000073408.2	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073409.12	0.93	0	0	2.34	0	4.83	0	0	0	1.91	1.92	3.34	0	0	1.79	2.46	0	0	0	0	0
ENSMUSG00000073411.11	7.75	10.84	4.03	9.89	5.73	3.42	7.38	3.35	1.97	11.36	15.56	11.03	3.94	17.15	5.3	14.13	0	8.04	10.01	9.96	6.99
ENSMUSG00000073412.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073413.9	0	4.93	0	0	0	5.32	5.91	9.2	7.96	0	0	4.1	0	0	0	0	0	16.17	9.09	0	0
ENSMUSG00000073414.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073415.4	35.86	45.03	45.09	23.55	53.67	44.22	43.15	65.45	56.33	83.79	74.93	29.39	23.27	39.18	15.12	236.25	76.63	222	143.01	128.12	87.64
ENSMUSG00000073418.4	0	2.77	0	3.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0	0
ENSMUSG00000073420.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37	0	0
ENSMUSG00000073421.5	1.7	5.46	5.59	18.28	8.83	2.52	3.89	3.1	5.48	19.14	0	10.24	0	9.26	2.8	5.74	0	1.86	0	2.11	4.33
ENSMUSG00000073422.10	6.04	0	0	17.54	4.69	4.74	3.6	0	1.75	8.16	2.84	0	1.9	9.14	10.4	8.89	0	3.53	0	0	0
ENSMUSG00000073423.9	2.46	5.24	6.6	4.44	5.81	11.36	0	13.38	0	0	0	0	1.46	0	0	0	0	0	0	0	0
ENSMUSG00000073424.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073427.4	0	0	5.93	0	1.17	0.42	0	1.54	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073430.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073433.10	6.24	0	0	6.67	3.22	2.29	0	2.82	3.35	0	0	0	0	0	0	0	0	0	0	3.87	0
ENSMUSG00000073434.11	3.2	3.25	0	0	0	1.09	8	0	3.43	0	0	0	0	0	0	0.46	0	0	0	0	0
ENSMUSG00000073435.10	6.23	6.88	3.53	6.59	0	8.99	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073436.11	224.28	203.47	209.34	200.94	205.01	193.77	181.05	183.89	235.84	220.79	127.12	219.8	112.77	209.17	126.09	155.96	131.15	241.64	260.22	272.34	304.48
ENSMUSG00000073437.10	1165.27	998.23	1170.78	1319.66	1001.96	1199.99	1051.6	803.71	807.07	1693.66	1931.57	1622.74	2290.31	1834.23	1596.8	3283.29	2940.69	2094.21	3222.3	2461.58	1515.2
ENSMUSG00000073448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073457.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073460.4	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073468.11	4.46	0	0	0	8.88	12.22	9.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073471.2	2.15	0	0	3.77	7.79	5.57	5.09	9.63	2.98	0	0	0	0	3.65	4.34	5.91	0	0	0	0	0
ENSMUSG00000073478.6	0	0	0	0	1.23	0	0	0	0	0	0	3.9	0	0	0	0	0	0	1.47	0	0
ENSMUSG00000073481.9	26.7	9.92	20.66	32.17	27.63	41.62	40.07	38.25	0	55.78	33.42	41.09	7.14	26.02	12.29	19.07	0	0	0	12.47	4.69
ENSMUSG00000073482.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073485.3	0.65	0	0	0.7	2.7	0.48	0	0.59	0.7	0.67	0	0	0	0.81	0	0.73	0	0	0	0	0
ENSMUSG00000073486.2	18.81	33.53	25.74	20.21	24.4	26.7	35.87	32.81	30.28	17.72	13.83	3.77	13.42	19.49	16.75	15.85	0	5.14	7.76	1.95	7.97
ENSMUSG00000073489.6	0	0	0	3.6	0	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	3.18
ENSMUSG00000073490.11	0	0	0	0	0.62	0.41	0.69	0.55	0	0	0	0	0	0	0	0	0	1.31	2.96	3.71	0
ENSMUSG00000073491.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073492.2	0	0.79	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073494.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073497.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073510.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073514.3	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073528.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073529.9	0	2.62	0	0	0.85	0.6	0	0	0	4.04	0	1.95	2.79	0	1.08	0.73	0	3.56	3.02	4.04	0
ENSMUSG00000073530.11	0.57	6.68	0.42	4.53	1.19	3.32	0.22	4.74	6.95	0	0	0	0	0	0	0	0	0.21	0	0.24	0
ENSMUSG00000073532.2	1.64	1.75	0	3.52	3.4	0	3.75	0	3.52	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073535.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073538.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073542.2	0.47	0	0	0	0.97	0.35	0.54	0.43	0.5	0	0.41	0	0	0.58	0	0	0	0	0	0	0
ENSMUSG00000073551.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073554.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073555.1	0	0	0	0	0	0	0	0	0	0.74	0	0.86	0	0	0	0	0	0	1.78	0.89	0
ENSMUSG00000073557.11	3.43	3.83	0.9	4.37	1.36	0.77	0.47	1.3	0.22	0.21	0	0	1	4.47	0	0	0	0.22	0	0.25	4.45
ENSMUSG00000073559.2	0	0	0	0	0	4.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073563.2	1.34	1.01	0.92	4.08	1.75	3.94	2.02	5.57	1	1.3	1.49	1.17	1.23	1.05	0.83	0.94	0	0	0	0	0.53
ENSMUSG00000073565.4	0.86	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073568.1	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073569.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073572.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073573.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073574.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073590.3	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0.36	0	0.32	0	0	0	0	0
ENSMUSG00000073591.4	0	0.3	0.91	0.3	0.29	0.65	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073594.3	0	0.8	0.41	2.4	0	0.28	1.28	0.34	0	0	0	0	0	0	0	0.41	0	0	0	1.38	0
ENSMUSG00000073598.3	0	0.82	0	0	0	0	0	0	0	0.78	0	2.74	0	0.95	1	0	0	0	0.94	0	0
ENSMUSG00000073599.9	3.92	4.87	12.28	10.17	7.78	8.87	4.57	3.64	6.44	4.11	0	0	1.71	2.49	0	0	0	0	0	0	0
ENSMUSG00000073600.3	0.62	4.01	0.68	6.14	1.3	1.39	2.15	0	0.67	3.8	1.65	1.62	1.07	4.59	3.08	1.4	0	0	0	0	0
ENSMUSG00000073601.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073602.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073607.2	0	0	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073608.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073609.9	0	0	0	1.25	0.6	0.86	0	0	0	0	0.51	0.65	0	0	0	0	0	0	0	0	0
ENSMUSG00000073610.3	6.23	0	0	0	6.37	8.99	7.01	0	20.06	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073616.10	32.51	20.47	21.1	34.37	13.29	46.86	14.63	23.26	27.92	32.84	0	15.78	0	24.15	0	0	0	5.88	7.98	6.97	8.42
ENSMUSG00000073627.7	3.84	3.46	3.54	1.74	0	0.45	3.7	0	3.47	0	0	0	0	0	0	0.66	0	1.77	2	0	0
ENSMUSG00000073628.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073631.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073633.9	0	2.65	0	2.59	0	3.57	2.84	0	2.6	0	2.19	0	4.25	0	2.04	0	0	0	0	0	3.17
ENSMUSG00000073639.5	5.1	4.56	3.73	8.25	11.5	8.86	7.81	2.33	5.48	2.63	2.25	1.02	0.73	4.23	1.4	1.91	0	0	0	3.17	0
ENSMUSG00000073640.2	0	0	0	0	0	0	0	0	26.32	0	0	0	0	0	0	0	0	0	0	0	7.4
ENSMUSG00000073643.11	6.02	0.87	1.63	2.55	0	0.9	0	0	0	0	0	7.79	0	0	0	0	0	0	0	0	0
ENSMUSG00000073647.3	6.36	16.26	0	7.45	14.85	5.31	20.87	7.13	0	5.54	0	0	5.19	0	0	0	0	0	0	0	0
ENSMUSG00000073650.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073652.10	74.17	283.56	109.1	162.78	118.01	123.14	131.59	79.9	106.44	0	5.94	0	8.03	0	16.56	7.76	0	212.36	162.7	326.33	265.11
ENSMUSG00000073656.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073658.4	0	0	0	4.05	0	0	4.31	3.43	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073664.11	0.37	0.39	0	0.79	0.38	0.39	0	0.21	0	0.54	0	0	0.33	0	0	0.13	0	0	0.14	0	0
