rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000000617.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627.15	0	0	0	10.25	0	2.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000628.10	0.33	0.36	0.73	1.46	0	0.25	0	0.3	0	0	0	0	0	0	0	0	0	0.74	0	0	0
ENSMUSG00000000631.20	24.33	8.94	31.06	5.19	27.03	28.55	10.33	15.21	3.27	14.09	2.09	0.59	17.7	14.37	2.63	20.77	0	1.07	6.4	0.89	0.62
ENSMUSG00000000632.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000673.8	0	0	0	0	0	0	0	0	0	5.19	4.46	6.08	0	8.38	4.15	1.89	0	0	0	0	0
ENSMUSG00000000682.7	13.33	0	0	0	0	3.7	5.76	0	0	0	0	0	0	6.32	0	0	0	0	0	6.33	6.56
ENSMUSG00000000686.11	0.71	0.76	0	0.77	0	0	0	0.65	6.88	0.73	0	0	0	0	0	0.8	0	0	0	0.88	0
ENSMUSG00000000690.5	10.88	11.67	10.85	7.46	15.43	10.29	11.35	3.61	3.19	8.15	8.74	16.63	10.19	14.77	12.22	8.88	0	0	3.68	1.91	0
ENSMUSG00000000693.10	84.6	74.81	97.65	101.3	111.02	100.89	92.69	97.88	92.93	73.11	45.85	104.4	43.59	81.07	60.8	60.62	50.56	45.55	46.55	30.33	49.28
ENSMUSG00000000701.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708.14	0.79	7.66	7.84	15.64	13.21	0.59	0	0.72	0	9.03	6.53	0.48	0.68	8.16	0	0.89	0	0	0	0	0
ENSMUSG00000000711.3	4.13	3.8	3.24	2.55	4.92	7.47	4.07	4.31	0	4.87	1.04	1.42	1.52	2.94	0	0	0	0.65	0.73	0	0
ENSMUSG00000000724.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731.15	0	0	0	0	0	0	0	0	0	0.65	0	4.61	0	0	2.09	0.71	0	0	0	0	0
ENSMUSG00000000732.9	0	1.65	0	0.83	1.21	0.57	0.77	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0
ENSMUSG00000000738.18	7.87	1.4	5	18.68	12.74	12.25	13.86	5.01	13.08	16.64	3.11	8.65	1.76	3.44	5.55	0	0	3.02	0	5.18	6.97
ENSMUSG00000000739.14	0	0	0	2.15	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000740.12	354.01	327.6	321.76	425.37	382.49	449.75	330.88	346.73	192.8	109.65	40.79	91.05	19.76	97.18	23.73	41.18	0	25.32	36.09	24.22	11.3
ENSMUSG00000000743.9	4.49	3.87	3.95	8.73	132.06	14.59	1.03	12.72	13.22	3.71	6.1	19.28	11.65	16.22	6.02	4.71	0	1.97	1.85	0	1.14
ENSMUSG00000000751.13	5.13	7.29	4.16	3.45	3.34	9.55	5.15	4.68	2.07	1.98	3.46	1.54	0.93	3.04	1.06	0	0	1.04	0.45	0	0
ENSMUSG00000000753.15	9.94	14.93	5.43	3.22	4.16	8.22	9.29	5.55	0	0	0	2.64	1.83	2.73	4.3	0	0	0	9.56	0	0
ENSMUSG00000000759.14	2.88	0	3.78	1.59	2.21	8.6	2.2	2.97	0	0	0	0	0	0	0	1.44	0	0	0	0	0
ENSMUSG00000000766.18	0	0	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776.13	3.81	3.45	4.13	3.44	7.37	8.99	11.4	2.61	7.11	0	0.85	7.31	4.19	4.11	0	3.74	0	0	0	0	0
ENSMUSG00000000782.15	4.07	2.48	0.85	0.83	0	3.47	3.54	4.12	2.49	0	0	0	0	0	0	0	0	0	0	0	0
