gene_id	tumorvs12w_padj
ENSMUSG00000000876.11	1.67828621387089e-92
ENSMUSG00000000881.12	0.141154827073276
ENSMUSG00000000884.16	0.39301478681623
ENSMUSG00000000889.8	NA
ENSMUSG00000000901.16	0.0347523977683302
ENSMUSG00000000902.13	0.151032489492231
ENSMUSG00000000903.3	0.378370981975931
ENSMUSG00000000915.15	1.96096649822868e-11
ENSMUSG00000000916.15	0.232809481553672
ENSMUSG00000000934.9	0.0425423001016561
ENSMUSG00000000938.11	2.88998247538817e-06
ENSMUSG00000000942.10	3.10161537374177e-07
ENSMUSG00000000948.16	0.0383789415605966
ENSMUSG00000000957.11	1.57454437592301e-12
ENSMUSG00000000958.10	1.36585947103404e-05
ENSMUSG00000000959.7	0.00135008213340902
ENSMUSG00000000976.13	2.5609219947203e-05
ENSMUSG00000000982.5	2.75326004424187e-08
ENSMUSG00000000983.13	6.03622649138541e-06
ENSMUSG00000001014.6	0.0439827545295459
ENSMUSG00000001016.12	0.350056329087771
ENSMUSG00000001017.15	0.501207694988041
ENSMUSG00000001018.15	0.00079983845068464
ENSMUSG00000001020.8	2.05512883134079e-16
ENSMUSG00000001021.12	0.00428021343610837
ENSMUSG00000001023.10	NA
ENSMUSG00000001025.8	2.32905039295273e-71
ENSMUSG00000001027.7	0.74512797014269
ENSMUSG00000001029.15	3.47598290677682e-07
ENSMUSG00000001034.17	1.07639233610265e-20
ENSMUSG00000001036.17	8.11466267841381e-15
ENSMUSG00000001039.12	0.0740633433988124
ENSMUSG00000001052.15	0.0559345585073453
ENSMUSG00000001053.15	0.0626778086939595
ENSMUSG00000001054.9	2.51935744506911e-10
ENSMUSG00000001056.3	0.00418999477795155
ENSMUSG00000001062.18	0.0115257703625332
ENSMUSG00000001065.15	3.36111691400874e-06
ENSMUSG00000001076.7	0.0712189136605077
ENSMUSG00000001082.12	2.71792191096165e-06
ENSMUSG00000001089.14	0.00556722063881698
ENSMUSG00000001095.5	2.466739310436e-37
ENSMUSG00000001098.15	0.00176746109341594
ENSMUSG00000001100.10	5.87839787797855e-07
ENSMUSG00000001103.7	NA
ENSMUSG00000001105.15	0.0162654592352779
ENSMUSG00000001119.7	0.000585400878104851
ENSMUSG00000001120.15	0.068959106766302
ENSMUSG00000001123.15	1.11123568219925e-22
ENSMUSG00000001127.12	0.273415601264726
ENSMUSG00000001128.7	0.0003969278670315
ENSMUSG00000001131.11	1.58785632552526e-28
ENSMUSG00000001134.9	0.0400787219921461
ENSMUSG00000001138.13	0.00548875529793914
ENSMUSG00000001143.13	4.75102700818639e-10
ENSMUSG00000001150.7	0.0911383977075808
ENSMUSG00000001151.10	0.334659024424269
ENSMUSG00000001155.13	3.27339555654054e-18
ENSMUSG00000001156.9	0.699155538434498
ENSMUSG00000001157.13	0.655705552636327
ENSMUSG00000001158.13	0.0371255782952677
ENSMUSG00000001166.17	0.261924715040874
ENSMUSG00000001168.16	NA
